verb;usage;transFr;transEn;yellow
пересекать\slash пересечь;;passer à travers;cut;not movement
перечислять\slash перечислить;;énumérer;enumerate;not movement
печатать\slash на-;;imprimer;print;not movement
писаться\slash на-;;s'érire;spell;not movement
планироваться\slash спланировать;;arrêter;plan;not movement
повторяться\slash повториться;;se répéter;repeat (oneself);not movement
погибать\slash погибнуть;;périr;perish;movement
поглощать\slash поглотить;;engloutir;swallow up;not movement
погружать\slash погрузить;;charger;immerse (into);not movement
подбирать\slash подобрать;;relever;pick up;not movement
подбодрить\slash подбадривать;;encourager;invigorate;not movement
подвергать\slash подвергнуть;;faire subir à;subject (to);not movement
подвергаться\slash подвергнуться;;subir;undergo;not movement
подводить\slash подвести;;amener;lead (to);not movement
подворачивать\slash подвернуть;;visser;screw a little;not movement
поддерживать\slash поддержать;;retenir;support;not movement
подключать\slash подключить;;brancher;link up;not movement
подлежать;;être sujet à;be subject (to);movement
подметать\slash подмести;;balayer;sweep;not movement
подозревать\slash заподозрить;;soupçonner (de);suspect (of);not movement
подписываться\slash подписаться;;signer;sign;not movement
подражать;;imiter;imitate;movement
подтверждать\slash подтвердить;;affirmer;confirm;not movement
позволять\slash позволить;;permettre;allow (to);not movement
показываться\slash показаться;;se montrer;appear;not movement
покидать\slash покинуть;;abandonner;leave;not movement
покончить;;achever;finish (with);not movement
ползти\slash по-;;ramper;crawl / creep along;movement
поливать\slash полить;;arroser;pour (on, upon);not movement
пользоваться\slash вос-;;profiter de;avail oneself (of);not movement
помечать\slash пометить;;marquer;mark;not movement
помещать\slash поместить;;mettre;place;not movement
понадобиться;;avoir besoin de;need;not movement
попадать\slash попасть;;se trouver;hit;movement
пороть\slash рас-;;fesser;undo;not movement
поручать\slash поручить;;charger;charge (with);not movement
посещать\slash посетить;;visiter;visit;not movement
поставлять\slash поставить;;поставить II;deliver (for);not movement
потреблять\slash потребить;;consommer;consume;not movement
появляться\slash появиться;;sembler;appear;not movement
пояснять\slash пояснить;;expliquer;explain;not movement
превосходить\slash превзойти;;surpasser;excel (in);not movement
превращать\slash превратить;;transformer;change (into);not movement
превращаться\slash превратиться;;se transformer;turn (into);not movement
превышать\slash превысить;;surpasser en;exceed;not movement
предавать\slash предать;;livrer à;betray;not movement
предвидеть;;prévoir;foresee;not movement
предлагать\slash предлагаться;;offrir;offer;not movement
предотвращать\slash предотвратить;;prévenir;avert;not movement
предохранять\slash предохраняться;;protéger (contre, contre);guard (from, against);not movement
предполагать\slash предположить;;supposer;suppose;not movement
предполагаться\slash предположить;;;be intended;not movement
предпочитать\slash предпочесть;;préférer;prefer;not movement
предпринимать\slash предпринять;;entreprendre;undertake;not movement
предстоять;;;lie ahead;movement
предусматривать\slash предусмотреть;;prévoir;foresee;not movement
предчувствовать;;pressentir;have a presentiment/ foreboding (of / about);not movement
преобразовывать\slash преобразовать;;réformer;reform;not movement
преодолевать\slash преодолеть;;surmonter;overcome;not movement
преследовать;;poursuivre;pursue;not movement
претендовать;;prétendre à;(lay) claim (to);movement
преувеличивать\slash преувеличить;;exagérer;exaggerate;not movement
преуспевать\slash преуспеть;;réussir dans;succeed (in);movement
прибавлять\slash прибавить;;ajouter;add;not movement
привлекать\slash привлечь;;attirer;draw;not movement
привязывать\slash привязать;;attacher;tie (to);not movement
приговаривать\slash приговорить;;condamner (à);repeat;not movement
придерживаться\slash придержаться;;se tenir à;hold (to);not movement
прижимать\slash прижать;;serrer contre;press (to / on);not movement
прижиматься\slash прижаться;;se serrer;press oneself (to);not movement
признавать\slash признать;;reconnaître;recognize;not movement
признаваться\slash признаться;;avouer;confess (to);not movement
приказывать\slash приказать;;ordonner;order (to);not movement
прилагать\slash приложить;;joindre;apply (to);not movement
принуждать\slash принудить;;contraindre;force;not movement
приобретать\slash приобрести;;acquérir;acquire;not movement
приоткрывать\slash приоткрыть;;entrouvrir;to open slighly;not movement
приподнимать\slash приподнять;;soulever;lift / raise (a little);not movement
присваивать\slash присвоить;;s'approprier;appropriate;not movement
прислушиваться\slash прислушаться;;écouter;listen (to);movement aspect unset
присоединяться\slash присоединиться;;se joindre à;join;not movement
приспосабливать\slash приспособить;;adapter;fit to;not movement
приступать\slash приступить;;se mettre à;set about;movement
притворяться\slash притвориться;;fermer (à demi);feign;not movement
приходиться\slash прийтись;;convenir;suit;movement
причинять\slash причинить;;causer;cause;not movement
пробегать\slash пробежать;;parcourir;run about (for a certain time);movement
проводиться\slash провестись;;conduire;lead;not movement
провоцировать\slash с-;;provoquer;provoke (to);not movement
прогнозировать;;faire des pronostics;forecast;not movement
проговаривать\slash проговорить;;prononcer;say;not movement
прогонять\slash прогнать;;pousser;drive;not movement
продаваться\slash продаться;;se vendre;be on / for sale;not movement
продвигаться\slash продвинуться;;progresser;move forward / ahead;not movement
проделывать\slash проделать;;pratiquer;break through;not movement
продемонстрировать\slash продемнстрировать;;mettre en évidence;show;not movement
продумывать\slash продумать;;examiner;think over;not movement
производиться\slash произвестися;;faire;make;not movement
пролетать\slash пролететь;;survoler;fly (past, by);movement
пропускать\slash пропустить;;laisser passer;let pass / in / through;movement
прославляться\slash прославиться;;se rendre célèbre (par);become famous (for);not movement
протестовать\slash за-;;protester;protest (against / at);movement
противиться\slash вос-;;s'opposer à;oppose (to);not movement
протягивать\slash протянуть;;tendre;stretch;not movement
проявлять\slash проявить;;manifester;show;not movement
прятаться\slash с-;;se cacher;hide;not movement
публиковать\slash о-;;publier annoncer;publish;not movement
пугать\slash пугаться;;faire peur (à);frighten;not movement
пускать\slash пустить;;laisser;let (go);not movement
путать;;embrouiller;mix things up;not movement
пылиться\slash напылить;;se couvrir de poussière;be(come) / get dusty;not movement
пытаться\slash по-;;tenter;try;not movement
радовать\slash об-;;réjouir;gladden;not movement
радоваться\slash об-;;se réjouir;rejoice;not movement
разбирать\slash разобрать;;prendre;strip;not movement
разбираться\slash разобраться;;ranger des affaires;come apart;not movement
развивать\slash развить;;développer;develop;not movement
развиваться\slash развиться;;se développer;develop;not movement
развлекать\slash развлечь;;distraire;entertain;not movement
разворачиваться\slash развернуться;;se déployer;turn (around);not movement
разглашать\slash разгласить;;divulguer;divulge;not movement
разделять\slash разделить;;diviser;divide;not movement
разделяться\slash разделиться;;se diviser (en);divide;not movement
раздражать\slash раздражить;;irriter;irritate;not movement
разливаться\slash разлиться;;se répandre;flood;not movement
размещать\slash разместить;;placer;place;not movement
размышлять\slash размыслить;;réfléchir (sur);reflect (on, upon);movement
разочаровывать\slash разочаровать;;décevoir;disappoint (over, in);not movement
разрабатывать\slash разработать;;cultiver;cultivate;not movement
разрушать\slash разрушить;;détruire;destroy;not movement
разрывать\slash разорвать;;déchirer;tear;not movement
разъединять\slash разъединить;;séparer;separate;not movement
разыгрывать\slash разыграть;;jouer;play;not movement
разыскивать\slash разыскать;;chercher;look (for);not movement
ранить\slash по-;;blesser;wound;not movement
раскаиваться\slash раскаяться;;se repentir (de);repent (smth., of smth.);movement aspect unset
раскачиваться\slash раскачаться;;se balancer;swing (back and forth);not movement
раскрывать\slash раскрыть;;ouvrir;open;not movement
распознавать\slash распознать;;discerner;recognize;not movement
располагаться\slash расположиться;;s'installer;settle (oneself);not movement
распределять\slash распределить;;distribuer;distribute (to, among);not movement
распространять\slash распространить;;diffuser;spread;not movement
распространяться\slash распространиться;;se répandre;spread;not movement
расследовать;;examiner;investigate;not movement
рассматривать\slash рассмотреть;;envisager;examine;not movement
расспрашивать\slash расспросить;;questionner sur;inquire;not movement
расставаться\slash расстаться;;se séparer (de);part (with);movement aspect unset
расстраивать\slash расстроить;;déranger;disorder;not movement
расстреливать\slash расстрелять;;fusiller;shoot;not movement
рассуждать;;raisonner;argue;movement
рассчитывать\slash рассчитать;;calculer;calculate;movement
рассчитываться\slash рассчитаться;;régler ses comptes avec;settle accounts (with);not movement
рассыпаться\slash -;;se répandre;crumble;not movement
растворять\slash растворить;;ouvrir;dissolve;not movement
растеряться;;se perdre;be / get lost;not movement
расходовать\slash из-;;dépenser;spend;not movement
расчесывать\slash расчесать;;démêler;comb (one's hair);not movement
расширять\slash расширить;;élargir;widen;not movement
рвать\slash рваться;;arracher;tear (to / in pieces);not movement
рваться\slash рвать;;se déchirer;break;not movement
реагировать\slash от-;;réagir;react (to, upon);movement
реализовывать\slash реализовать;;réaliser;incarnate;not movement
реализовываться\slash реализовать;;réaliser;realize;not movement
регистрировать\slash за-;;enregistrer;register;not movement
регулировать;;régler;regulate;not movement
редактировать\slash от-;;revoir;edit;not movement
резюмировать;;résumer;summarize;not movement
рекомендовать\slash по-;;recommander;recommend;not movement
реформировать;;réformer;reform;not movement
решаться\slash решиться;;être décidé;make up one's mind (to);not movement
ржаветь\slash за-;;se rouiller;become rusty;movement
рисковать\slash рискнуть;;risquer;run risks;movement
ронять\slash уронить;;laisser tomber;drop;not movement
рубить\slash на-;;abattre;chop;not movement
руководить;;diriger;lead;not movement
рулить;;manœuvrer le gouvernail;drive;movement
рыдать;;sangloter;sob;movement
сажать\slash посадить;;planter;seat;not movement
сбегать\slash сбежать;;courir;run (for);movement
сбивать\slash сбить;;abattre;bring / knock down;not movement
сверкать\slash сверкнуть;;étinceler;sparkle;movement
свистеть\slash свистнуть;;siffler;whistle;not movement
сворачивать\slash своротить;;rouler;displace;movement
связывать\slash связать;;связать 1;tie together;not movement
сгорать\slash сгореть;;être brûlé;burn down / out;movement
сдавать\slash сдать;;remettre;deliver;not movement
сдерживать\slash сдержать;;retenir;hold in;not movement
сжигать\slash сжечь;;brûler;burn (down / out);not movement
сжимать\slash сжать;;сжать I;(com)press;not movement
сигнализировать;;donner des signaux;signal;not movement
скользить\slash скользнуть;;glisser;slide;movement
следить\slash про-;;suivre;watch;movement
слушаться\slash по-;;obéir à;obey;not movement
смущать\slash смутить;;troubler;embarrass;not movement
снижать\slash снизить;;abaisser;lower;not movement
снижаться\slash снизиться;;baisser;descend;not movement
