verb;transFR
умирать\slash умереть;mourir
умножать\slash умножить;augmenter
умываться\slash умыться;se laver
уносить\slash унести;emporter
упаковывать\slash упаковать;emballer
употреблять\slash употребить;employer
управлять;diriger
усиливать\slash усилить;renforcer
усиливаться\slash усилиться;se renforcer
успевать\slash успеть;arriver à temps
успокаивать\slash успокоить;tranquilliser
успокаиваться\slash успокоиться;se tranquilliser
уставать\slash устать;se fatiguer
устанавливать\slash установить;placer
устанавливаться\slash установиться;être formé
ухаживать;soigner
уходить\slash уйти;s'en aller
ухудшаться\slash ухудшиться;empirer
участвовать;participer (à)
учить\slash на-;apprendre à
учить\slash учиться;enseigner à
учиться\slash вы-;apprendre
фотографировать\slash с-;photographier
хвалить\slash по-;louer de
хватать\slash хватить;saisir
ходить\slash пойти;marcher
хотеть\slash за-;vouloir
хотеться\slash за-;avoir envie de
хранить;garder
храниться\slash хранить;se trouver
целовать\slash по-;embrasser (à, sur)
целоваться\slash по-;s'embrasser
чинить\slash по-;réparer
чистить\slash по-;nettoyer
читать\slash прочесть;lire
читаться\slash прочесть;se lire
чувствовать\slash пере-;sentir
шагать\slash шагнуть;marcher
шить\slash с-;coudre
шуметь;faire du bruit
шутить\slash по-;plaisanter
экономить\slash с-;économiser
являться\slash явиться;se présenter
