verb;usage;transFr;transEn;yellow
страдать\slash по-;;souffrir;suffer (from);1
страховать\slash за-;;assurer;insure (against);0
стрелять\slash выстрелить;;tirer;shoot (at);0
стричь\slash о-;;couper;cut;0
строить\slash вы-;;bâtir;build (up);0
стучать\slash по-;;frapper;knock (at);0
сушить\slash вы-;;sécher;dry;0
сходить\slash сойти;;descendre;go / come down (from);1
считать\slash счесть;;compter;count;0
съездить;;aller;go;1
танцевать\slash с-;;danser;dance;0
терпеть\slash пере-;;endurer;suffer;0
терять\slash по-;;perdre;lose;0
теряться\slash по-;;se perdre;be lost;0
течь;;couler;flow;1
толкать\slash толкнуть;;pousser;push;0
торговать;;faire du commerce;deal (in);0
тормозить\slash за-;;freiner;apply the brake;0
торопиться\slash по-;;être pressé;hurry;0
тошнить\slash за-;;безл.;feel sick;0
тратить\slash ис-;;dépenser;spend;0
требоваться\slash по-;;être nécessaire;need;0
тренировать\slash на-;;entraîner;train;0
трогать\slash тронуть;;toucher de;touch;0
трудиться\slash по-;;travailler;work;0
тянуть\slash по-;;tirer;pull;0
убегать\slash убежать;;s'enfuir;run away;1
убивать\slash убить;;massacrer;kill;0
убирать\slash убрать;;enlever;take / put / clear away;0
уважать;;respecter;respect;0
увеличивать\slash увеличить;;agrandir;increase;0
увеличиваться\slash увеличиться;;s'agrandir;increase;0
увлекаться\slash увлечься;;se passionner pour;be carried away;0
уводить\slash увести;;emmener;take away;0
увозить\slash увезти;;emmener;drive / take away;0
увольнять\slash уволить;;congédier;discharge;0
угадывать\slash угадать;;deviner;guess (right);0
уговаривать\slash уговорить;;exhorter à;persuade;0
угощать\slash угостить;;régaler;entertain (to, at);0
ударять\slash ударить;;taper;strike;0
удивлять\slash удивить;;étonner;astonish;0
удивляться\slash удивиться;;s'étonner (de);wonder at;0
удочерять\slash удочерить;;adopter;adopt;0
уезжать\slash уехать;;partir (pour);leave (for);1
ужинать\slash по-;;souper;take / have supper;1
узнавать\slash узнать;;reconnaître;know (again);0
указывать\slash указать;;indiquer;show;0
