verb;usage;transFr;transEn;yellow
врываться\slash ворваться;;faire irruption;rush in;0
разрывать\slash разрыть;;creuser, déterrer;dig (up);0
годиться\slash при-;;convenir;be fit (for);0
обучать\slash обучить;;former qqun à;teach (smb. smth.);0
убеждать\slash убедить;;convaincre de;convince (of);0
дожидаться\slash дождаться;;attendre;wait (for, till);0
шептать\slash про-;;chuchoter;whisper;0
разрабатывать\slash разработать;;exploiter (agri., mines), élaborer;exploit (land, mines), elaborate;0
сопротивляться;;résister;resist;0
обозначать\slash обозначить;;marquer;denote;0
болтать\slash вз-;;agiter;shake up;0
регулировать\slash *;;réguler;regulate;0
раскрывать\slash раскрыть;;révéler, résoudre;solve, reveal;0
накрывать\slash накрыть;;(re)couvrir;cover (with);0
укрывать\slash укрыть;;(re)couvrir, cacher;cover;0
ограничивать\slash ограничить;;restreindre;confine;0
колебаться\slash по-;;hésiter;hesitate;0
сгорать\slash сгореть;;être brûlé;burn down / out;1
качать\slash качнуть;;balancer;rock;0
раскачиваться\slash раскачаться;;se balancer;swing (back and forth);0
катать\slash по-;;rouler, faire tourner;ride, roll;0
освещать\slash осветить;;éclairer, souligner;light (up);0
удовлетворять\slash удовлетворить;;satisfaire;satisfy;0
писаться\slash на-;;s'écrire;be written, be spelled;0
подписываться\slash подписаться;;signer;sign;0
списывать\slash списать;;plagier, radier, annuler (dettes);plagiarize, write off;0
стимулировать;;stimuler;stimulate;0
превосходить\slash превзойти;;surpasser;excel (in);0
беречь\slash по-;что;garder, conserver;guard, keep;0
игнорировать;;ignorer;ignore;0
снижать\slash снизить;;réduire;lower;0
бормотать\slash про-;;marmonner;mutter;0
функционировать;;fonctionner;function;1
вмешиваться\slash вмешаться;;se mêler de;interfere (in);0
ползти\slash по-;;ramper;crawl / creep along;1
разрушать\slash разрушить;;détruire;destroy;0
сотрудничать;;collaborer;collaborate (with);1
дуть\slash по-;;souffler;подуть;0
путать\slash *;;embrouiller;mix things up;0
кушать\slash по-;;manger;eat;0
кусать\slash по-;;mordre;bite;0
ликвидировать;;liquider;liquidate;0
вздыхать\slash вздохнуть;;respirer;sigh;1
задыхаться\slash задохнуться;;étouffer;gasp (for breath);0
критиковать;;critiquer;criticize;0
анализировать\slash про-;;analyser;analyse;0
оборачиваться\slash обернуться;;se retourner;turn (round);0
внушать\slash внушить;;inspirer;suggest;0
оправдывать\slash оправдать;;justifier;justify;0
восстанавливать\slash восстановить;;rétablir;restore;0
восхищаться\slash восхититься;;admirer;be delighted (with);0
скользить\slash скользнуть;;glisser;slide;1
воображать\slash вообразить;;imaginer;imagine;0
намереваться\slash намериться;;avoir l'intention de;intend;0
продвигаться\slash продвинуться;;progresser;move forward / ahead;0
передвигаться\slash передвинуться;;se déplacer;move;0
нервничать;;être nerveux;be / feel nervous;1
хлопать\slash по-;;claquer;flap;0
вытаскивать\slash вытащить;;retirer;take out;0
преодолевать\slash преодолеть;;surmonter;overcome;0
сообщаться\slash сообщиться;;être communiqué;be communicated;0
хохотать\slash хохотнуть;;rire (aux éclats);laugh loudly;1
организовывать\slash организовать;;organiser;organize;0
конкурировать;;concourir;compete (with, in);1
добывать\slash добыть;;se procurer;(manage to) get;0
смущать\slash смутить;;troubler;embarrass;0
трястись\slash по-;;trembler;shake;0
трясти\slash по-;;secouer;shake;0
возбуждать\slash возбудить;;exciter;excite;0
катиться\slash по-;;rouler;roll, stream;0
катить\slash по-;;faire rouler;roll, push;0
теряться\slash рас-;;être dépassé;be / get lost;0
сочинять\slash сочинить;;composer;compose;0
причинять\slash причинить;;causer, infliger;cause;0
лечиться\slash по-;;guérir, se soigner;receive / undergo (medical) treatment (for);0
рыдать;;sangloter;sob;1
компенсировать;;compenser;compensate;0
цвести;;fleurir;flower;1
охотиться\slash по-;;chasser;hunt;0
взволновать\slash волновать;;inquiéter;agitate;0
освобождать\slash освободить;;libérer;set free;0
гудеть\slash про-;;bourdonner;buzz;1
базироваться\slash базировать;;se fonder sur;rest (on, upon);0
лгать\slash со-;;mentir;lie;1
расширять\slash расширить;;élargir;widen;0
гибнуть\slash по-;;mourir;die;1
погибать\slash погибнуть;;avoir été tué;be killed;1
таять\slash рас-;;fondre;melt;1
рассы́паться\slash рассыпа́ться;;se répandre (poudre, idées);crumble, spill;0
сы́пать\slash по-;;verser (poudre);sprinkle;1
усыпа́ть\slash усы́пать;;parsemer;bestrew;0
рубить\slash по-;;couper, tailler;chop;0
тонуть\slash у-;;se noyer;sink;1
адресовать;;adresser;address;0
жрать\slash со-;;dévorer;devour;0
литься\slash по-;;couler, fuiter;flow;0
заливать\slash залить;;remplir de liquide;flood;0
поливать\slash полить;;arroser;pour (on, upon);0
разливаться\slash разлиться;;se répandre;flood;0
пылиться\slash за-;;prendre la poussière;be(come) / get dusty;0
поглощать\slash поглотить;;avaler, absorber;swallow up, absorb;0
пересекать\slash пересечь;;croiser;intersect;0
расспрашивать\slash расспросить;;poser des questions;ask questions;0
допрашивать\slash допросить;;interroger;interrogate;0
опрашивать\slash опросить;;sonder;interrogate;0
сочетаться;;s'unir;combine;0
отзываться\slash отозваться;;répondre à, parler;respond (to), speak of;0
вытирать\slash вытереть;;essuyer;wipe;0
тереть\slash по-;;frotter;rub;0
разворачиваться\slash развернуться;;se dérouler, faire demi-tour;turn around, unfold;0
сворачивать\slash *;;tourner, (en)rouler;roll, turn;1
переворачивать\slash перевернуть;;retourner, renverser;turn, turn over;0
подворачивать\slash подвернуть;;visser;screw a little;0
казнить;;mettre à mort;put to death;0
взаимодействовать\slash про-;;coopérer;interact;1
устраиваться\slash устроиться;;s'installer;settle down;0
настраивать\slash настроить;;régler, configurer;tune (up, in);0
выстраивать\slash выстроить;;bâtir;draw up;0
расстраивать\slash расстроить;;déranger;disorder;0
встраивать\slash встроить;;encastrer;build in;0
осваивать\slash освоить;;assimiler;master;0
присваивать\slash присвоить;;attribuer;appropriate;0
усваивать\slash усвоить;;assimiler des idées;assimilate ideas;0
помещать\slash поместить;;placer (qqun, qqch);place;0
размещать\slash разместить;;installer, déployer;install, deploy;0
перемещать\slash переместить;;changer de place;move;0
вмещать\slash вместить;;contenir / faire entrer;hold / put in;0
совмещать\slash совместить;;combiner;combine;0
укреплять\slash укрепить;;affermir;strengthen;0
закреплять\slash закрепить;;consolider, fixer;consolidate, fix ;0
доминировать;;prédominer;(pre)dominate;1
оскорблять\slash оскорбить;;offenser;offend;0
стартовать;;prendre le départ;start;1
финансировать;;financer;finance;0
стонать\slash про-;;gémir;groan;1
перечислять\slash перечислить;;énumérer;enumerate;0
вычислять\slash вычислить;;calculer;calculate;0
зачислять\slash зачислить;;s’inscrire;enlist;0
