verb;usage;transFr;transEn;yellow
являться\slash явиться;;se présenter;appear;0
следовать\slash последовать;;suivre;follow;1
использовать;;employer;use;0
бывать;;avoir lieu;be;1
представлять\slash представить;;présenter;present;0
бояться;;craindre;be afraid (of);0
принимать\slash принять;;recevoir;accept;0
стараться\slash постараться;;tâcher de;endeavo(u)r;0
надеяться\slash понадеяться;;espérer;hope;0
пользоваться\slash воспользоваться;;jouir de;(make) use (of);0
выглядывать\slash выглядеть;;trouver;find;0
иметься\slash иметь;;avoir;be at / in / on hand;0
ожидать;;attendre;wait (for);0
глядеть\slash поглядеть;;regarder;look (at);0
возвращаться\slash возвратиться;;retourner;return;0
зависеть;;dépendre de;depend (on);1
создавать\slash создать;;créer;create;0
звать\slash позвать;;appeler;call;0
принадлежать;;appartenir;belong (to);1
обращаться\slash обратиться;;se tourner;turn (to, into);0
выступать\slash выступить;;sortir;step forth / forward come forward;1
решать\slash решить;;résoudre;solve;0
напоминать\slash напомнить;;rappeler;remind (of);0
двигаться\slash двинуться;;se mouvoir;move;0
участвовать;;participer (à);take part (in);1
вспоминать\slash вспомнить;;se souvenir de;remember;0
обещать\slash пообещать;;promettre;promise;0
состояться;;avoir lieu;take place;0
испытывать\slash испытать;;essayer;try;0
оставлять\slash оставить;;laisser;leave;0
требоваться\slash потребоваться;;être nécessaire;need;0
заходить\slash зайти;;se mettre à marcher;go / come (to);1
присутствовать;;assister à;be present (at);1
замечать\slash заметить;;remarquer;notice;0
держаться\slash держать;;tenir;hold on (to);0
спасать\slash спасти;;sauver;save;0
производить\slash произвести;;faire;make;0
продолжаться\slash продолжиться;;durer;last;0
бороться\slash бороть;;lutter;fight (with, against);0
сообщать\slash сообщить;;communiquer à;communicate (to);0
указывать\slash указать;;indiquer;show;0
готовиться\slash приготовиться;;se préparer à;get ready;0
собирать\slash собрать;;réunir;gather;0
изучать\slash изучить;;étudier;study;0
страдать\slash пострадать;;souffrir;suffer (from);1
обсуждать\slash обсудить;;examiner;discuss;0
передавать\slash передать;;transmettre;pass;0
интересовать\slash заинтересовать;;éveiller l'intérêt de;interest in;0
общаться;;être en rapports;communicate with;0
спешить\slash спешить;;être pressé;dismount;1
сходить\slash сойти;;descendre;go / come down (from);1
сомневаться\slash усомниться;;douter de;doubt;0
стрелять\slash выстрелить;;tirer;shoot (at);0
убивать\slash убить;;massacrer;kill;0
управлять;;diriger;govern;0
отмечать\slash отметить;;marquer;mark;0
отказываться\slash отказаться;;refuser;refuse;0
ловить\slash поймать;;attraper, capturer;(try to) catch;0
применять\slash применить;;appliquer;apply;0
отсутствовать;;manquer;be absent;1
терпеть\slash перетерпеть;;endurer;suffer;0
наступать\slash наступить;;marcher sur;tread / step (on);1
выражать\slash выразить;;exprimer;express;0
радоваться\slash обрадоваться;;se réjouir de;rejoice;0
планировать\slash спланировать;;arrêter;plan;1
выдавать\slash выдать;;donner;give (out);0
описывать\slash описать;;décrire;describe;0
контролировать\slash проконтролировать;;contrôler;control;0
сохранять\slash сохранить;;conserver;keep;0
проживать\slash прожить;;vivre;live;1
пахнуть;;sentir;smell (of);1
подавать\slash подать;;taille;give (to);0
хранить;;garder;keep;0
воевать;;faire la guerre (à);wage war (on, with);1
интересоваться\slash заинтересоваться;;s'intéresser à;be(come) interested (in);0
удивляться\slash удивиться;;s'étonner (de);wonder at;0
жаловаться\slash пожаловаться;;se plaindre;complain (of, about);0
жалеть\slash пожалеть;;plaindre;pity;0
почитать\slash почтить;;respecter;esteem;0
волноваться\slash взволноваться;;s'agiter;be agitated;0
зарабатывать\slash заработать;;gagner;earn;0
применяться\slash примениться;;se conformer;adapt oneself (to);0
спускаться\slash спуститься;;dévaler;go down;0
устанавливать\slash установить;;placer;place;0
заканчиваться\slash закончиться;;prendre fin;end;0
волновать\slash взволновать;;agiter;agitate;0
беспокоиться\slash обеспокоиться;;s'inquiéter de;worry;0
нарушать\slash нарушить;;troubler;disturb;0
доставать\slash достать;;atteindre;reach;0
прощать\slash простить;;pardonner;forgive;0
соглашаться\slash согласиться;;consentir à;agree (to);0
длиться\slash продлиться;;durer;last;0
успевать\slash успеть;;arriver à temps;have time;1
переставать\slash перестать;;cesser (de);stop;1
гордиться;;être fier de;be proud (of);0
сравнивать\slash сравнить;;comparer;compare (with);0
подчеркивать\slash подчеркнуть;;souligner;underline;0
добавлять\slash добавить;;ajouter;add (to);0
храниться\slash хранить;;se trouver;be kept;0
вешать\slash повесить;;suspendre;hang (up);0
трогать\slash тронуть;;toucher de;touch;0
соблюдать\slash соблюсти;;observer;observe;0
употреблять\slash употребить;;employer;use;0
торговать;;faire du commerce;deal (in);0
предупреждать\slash предупредить;;prévenir;give notice (of);0
возражать\slash возразить;;objecter;object (to);1
беспокоить\slash беспокоиться;;inquiéter;upset;0
приветствовать;;saluer;greet;0
рождаться\slash родиться;;naître;be born;0
голосовать\slash проголосовать;;voter (pour);vote (for, against);0
охранять\slash охранить;;garder;guard / protect (from, against);0
выделять\slash выделить;;choisir;pick out;0
портить\slash испортить;;gâter;spoil;0
доставлять\slash доставить;;fournir;deliver;0
обсуждаться\slash обсудить;;examiner;be on the floor;0
вносить\slash внести;;porter;carry in;0
повышать\slash повысить;;hausser;raise;0
анализировать\slash проанализировать;;analyser;analyse;0
давить\slash раздавить;;peser sur;weigh (upon);0
переносить\slash перенести;;transporter;transfer;0
драться\slash подраться;;se battre;fight;0
отвертываться\slash отвернуться;;se détourner;come unscrewed;0
менять\slash поменять;;менять;exchange;0
печатать\slash напечатать;;imprimer;print;0
вытекать\slash вытечь;;s'écouler;flow out;1
исключать\slash исключить;;exclure;exclude;0
ругаться\slash выругаться;;jurer;swear;0
прятать\slash спрятать;;cacher;hide;0
светить\slash засветить;;luire;shine;0
объявлять\slash объявить;;annoncer;declare;0
светиться\slash засветиться;;luire;shine;0
рожать\slash родить;;mettre au monde;give birth (to);0
кататься\slash катать;;se rouler;go for a drive;0
возвращать\slash возвратить;;rendre;return;0
прибегать\slash прибежать;;accourir;come running;1
провожать\slash проводить;;проводить II;see (off);0
одевать\slash одеть;;habiller;dress (in);0
поворачиваться\slash повернуться;;se tourner;turn;0
выполняться\slash выполнить;;remplir;carry out;0
кончать\slash кончить;;finir;finish;0
изменяться\slash измениться;;changer;change;0
махать\slash махнуть;;agiter;wave;0
блестеть\slash блеснуть;;briller;shine;1
кивать\slash кивнуть;;saluer;nod;1
устанавливаться\slash установиться;;être formé;be settled;0
завидовать\slash позавидовать;;porter envie à;envy;1
украшать\slash украсить;;orner;adorn;0
обманывать\slash обмануть;;tromper;deceive;0
обижаться\slash обидеться;;se vexer;take offence;0
шагать\slash шагнуть;;marcher;step;0
заменять\slash заменить;;remplacer;replace (by);0
оплачивать\slash оплатить;;payer;pay (for);0
съездить;;aller;go;1
успокаивать\slash успокоить;;tranquilliser;calm;0
придумывать\slash придумать;;inventer;think out;0
двигать\slash двинуть;;mouvoir;move;0
отставать\slash отстать;;rester en arrière;lag / fall / remain behind;1
обходить\slash обойти;;faire le tour de;go / pass / walk (a)round;0
