verb;usage;transFr;transEn;yellow
разменивать\slash разменять;;changer;change (for);not movement
размешивать\slash размешать;;mélanger;stir (up);not movement
разрезать\slash -;;couper;cut (up);not movement
разрешать\slash разрешить;;résoudre;permit;not movement
разрешаться\slash разрешиться;;être résolu;be (re)solved;not movement
рассказывать\slash рассказать;;raconter;tell;not movement
расслабляться\slash расслабить;;расслабиться;relax;not movement
расставлять\slash расставить;;placer;place;not movement
расти;;croître;grow;movement
ревновать;;être jaloux (de);be jealous (of);not movement
резать\slash по-;;couper;cut (up);not movement
резервировать;;réserver;reserve;not movement
рекламировать;;faire de la publicité à;advertise;not movement
ремонтировать\slash от-;;faire des réparations de;repair;not movement
решать\slash решить;;résoudre;solve;not movement
рисовать\slash на-;;dessiner;draw;not movement
родиться;;naître;be born;not movement
рожать\slash родить;;mettre au monde;give birth (to);not movement
рождаться\slash родиться;;naître;be born;not movement
ругать\slash вы-;;gronder;abuse;not movement
ругаться\slash вы-;;jurer;swear;not movement
садиться\slash сесть;;s'asseoir;sit down;not movement
светить\slash за-;;luire;shine;not movement
светиться\slash за-;;luire;shine;not movement
сгибать\slash согнуть;;courber;bend;not movement
сердиться\slash рас-;;se fâcher;be(come) angry (with);not movement
сидеть;;être assis;sit;not movement
скачивать\slash скатить;;faire rouler;download;not movement
складывать\slash сложить;;ranger;put together / up / down;not movement
скучать;;s'ennuyer;be bored;movement
следовать\slash по-;;suivre;follow;movement
случаться\slash случиться;;случиться I;happen;not movement
слушать\slash по-;;écouter;listen (to);not movement
слышать\slash у-;;entendre;hear;not movement
смешивать\slash смешать;;mêler;mix (up);not movement
смеяться\slash за-;;rire;begin to laugh;not movement
смотреть\slash по-;;regarder;look;not movement
снимать\slash снять;;enlever;take away;not movement
сниться\slash при-;;voir en rêve;dream;not movement
собирать\slash собрать;;réunir;gather;not movement
соблюдать\slash соблюсти;;observer;observe;not movement
советовать\slash по-;;conseiller;advise;movement
советоваться\slash по-;;consulter sur;consult;not movement
соглашаться\slash согласиться;;consentir à;agree (to);not movement
соединять\slash соединить;;unir;unite;not movement
создавать\slash создать;;créer;create;not movement
сокращать\slash сократить;;raccourcir;shorten;not movement
солить\slash по-;;saler;salt;not movement
сомневаться\slash усомниться;;douter de;doubt;not movement
